start_h,start_m,start_s,start_ms,end_h,end_m,end_s,end_ms,text
0,0,0,0,0,0,10,0,音楽
0,1,30,0,0,1,33,0,light
0,1,33,0,0,1,35,0,おっと、20だったかも。
0,1,39,0,0,1,46,0,ま、なんか、後ろから複数聞こえてくるやつみたいな
0,1,46,0,0,1,48,0,7.1…
0,1,48,0,0,1,50,0,7.1…
0,1,50,0,0,1,52,0,7.1…
0,1,52,0,0,1,54,0,7.1…
0,1,54,0,0,1,56,0,7.1…
0,1,56,0,0,1,58,0,7.1…
0,1,58,0,0,2,0,0,7.1…
0,2,0,0,0,2,2,0,7.1…
0,2,2,0,0,2,4,0,7.1…
0,2,4,0,0,2,8,0,今日ちょっとほんとダメなんですよ。すいません、今日よろしくお願いします。
0,2,11,0,0,2,13,0,うららじ、オールナイト
0,2,13,0,0,2,15,0,オールナイト
0,2,15,0,0,2,17,0,オールナイト
0,2,17,0,0,2,19,0,オールナイト
0,2,19,0,0,2,21,0,オールナイト
0,2,21,0,0,2,23,0,オールナイト
0,2,23,0,0,2,25,0,オールナイト
0,2,25,0,0,2,27,0,オールナイト
0,2,27,0,0,2,29,0,オールナイト
0,2,29,0,0,2,31,0,オールナイト
0,2,31,0,0,2,35,0,皆さんこんばんは。愛媛関係者アニマイルのオラル加古です。
0,2,35,0,0,2,38,0,今日は、えっと…
0,2,38,0,0,2,41,0,エコーをかけっぱなしでいきたいと思います。
0,2,41,0,0,2,43,0,嘘です。
0,2,43,0,0,2,45,0,ちょっとあの、先ほど
0,2,45,0,0,2,47,0,先ほどの配信で
0,2,47,0,0,2,49,0,あのー
0,2,49,0,0,2,51,0,ワインを飲んだところ
0,2,51,0,0,2,53,0,すっごい眠くて
0,2,53,0,0,2,55,0,さっきまでちょっと
0,2,55,0,0,2,59,0,ギリギリ5分前ぐらいまで寝てたんですけど
0,2,59,0,0,3,2,0,何度か起きました。
0,3,2,0,0,3,4,0,むっちゃ眠いです。
0,3,4,0,0,3,8,0,こんな眠い状態で配信を始めたことは今だかつてありません。
0,3,8,0,0,3,11,0,合ってますか?画面が。
0,3,11,0,0,3,13,0,合ってると思います。
0,3,15,0,0,3,18,0,マジで眠い。本当に眠い。
0,3,18,0,0,3,22,0,こんな、ワイン一杯でこんな眠いことある?
0,3,22,0,0,3,24,0,あります。
0,3,24,0,0,3,27,0,えー、ということで、お待たせしてすみませんでした。
0,3,27,0,0,3,30,0,本日はですね、えー
0,3,30,0,0,3,33,0,深夜のラジオということで
0,3,33,0,0,3,36,0,えー、なんか皆さんから
0,3,36,0,0,3,39,0,いただいたね、お便りを
0,3,39,0,0,3,42,0,えー、読んでいきます。
0,3,45,0,0,3,48,0,こんな、朝わけだってこんな眠かったことはないですね。
0,3,48,0,0,3,51,0,本当に
0,3,51,0,0,3,56,0,こんなに脳みそが動かないまま配信したことも今だかつてないし
0,3,56,0,0,4,0,0,朝わけなんかより全然眠い。
0,4,0,0,0,4,4,0,本当にこんな眠い人間が
0,4,4,0,0,4,7,0,なんかインターネットで話していいと思ってるのか?
0,4,7,0,0,4,10,0,そんなわけない。
0,4,10,0,0,4,13,0,そんなわけないんですよ。
0,4,13,0,0,4,16,0,ねえ、こんな土曜日差し掛かりの
0,4,16,0,0,4,19,0,深夜1時からね
0,4,19,0,0,4,22,0,皆さんがお付き合いいただいて、私は告知してるんでね
0,4,22,0,0,4,25,0,告知して皆さんにお付き合いいただいてるんで
0,4,25,0,0,4,28,0,こんなクソ眠い人間が
0,4,28,0,0,4,31,0,配信していいわけないんですよ。
0,4,31,0,0,4,34,0,なんかあの世の中のね
0,4,34,0,0,4,37,0,あの目の覚める行為はちょっと全部
0,4,37,0,0,4,40,0,試していきたいなと思うので
0,4,40,0,0,4,43,0,今この場でもできるやつがあれば
0,4,43,0,0,4,46,0,教えていただきたいなと
0,4,46,0,0,4,49,0,思いますけれども
0,4,49,0,0,4,52,0,音量とか何かありましたら教えてください。
0,4,52,0,0,4,55,0,ちょっともう、あの何も調整できませんでした。
0,4,55,0,0,4,58,0,はい、えー、ということでね
0,4,58,0,0,5,1,0,今日はちょっと普通歌もう早速
0,5,1,0,0,5,4,0,読んでいきたいなと思います。
0,5,4,0,0,5,7,0,ペン、ペンがちょっと周りにない。
0,5,7,0,0,5,10,0,ペンがない。
0,5,10,0,0,5,13,0,コーヒー
0,5,13,0,0,5,16,0,コーヒーがない。
0,5,16,0,0,5,19,0,コーヒー入れる時間がなかった。
0,5,19,0,0,5,22,0,はい、えー、なんかね、もし本当に寝そうになったら
0,5,22,0,0,5,25,0,ちょっと痛みで何とかしていきたいと思います。
0,5,25,0,0,5,28,0,やっぱね、しつけに一番効くのは痛みだと思って
0,5,28,0,0,5,31,0,リヴァイ兵長が言ってたってうちのお母さんが言ってたんでね。
0,5,31,0,0,5,34,0,うん、本当にリヴァイ兵長が言ってたかどうか
0,5,34,0,0,5,37,0,ちょっと定かではないんですけど、うちのお母さんが言ってたんで。
0,5,37,0,0,5,40,0,えー、ではね、1つ目から
0,5,40,0,0,5,43,0,読ませていただきたいと思います。
0,5,43,0,0,5,46,0,はい。
0,5,46,0,0,5,49,0,あれ、私ってこれぐらいでしたっけ?
0,5,49,0,0,5,52,0,サイズ感っていうのは。
0,5,52,0,0,5,55,0,なんか、もうちょっとなんか
0,5,55,0,0,5,58,0,これぐらいだったんじゃないですか?
0,5,58,0,0,6,1,0,どうですか?過去のオーラル加工さん。
0,6,1,0,0,6,4,0,あー、いいですね。いい感じだと思います。
0,6,4,0,0,6,7,0,はい。
0,6,7,0,0,6,10,0,えー、1つ目ですね。
0,6,10,0,0,6,13,0,ハグキがジャクテンさんからの
0,6,13,0,0,6,16,0,フツヲタお便りありがとうございます。
0,6,16,0,0,6,19,0,世の中には、世の中には、愛すべきバカが必須だと思う。
0,6,19,0,0,6,22,0,しかしバカだけだと下品になってしまうので
0,6,22,0,0,6,25,0,ある程度の品位が必要。
0,6,25,0,0,6,28,0,今回ご紹介したい商品は
0,6,28,0,0,6,31,0,バカと品位のマリアージュ。
0,6,31,0,0,6,34,0,10月7日からワーガーキングにて期間限定発売される
0,6,34,0,0,6,37,0,ビーフギルティポルチーニバーガー。
0,6,37,0,0,6,40,0,ビーフギルティポルチーニバーガー。
0,6,40,0,0,6,43,0,バンズにバターが詰められており、そこにポテトとビーフパティを挟むという
0,6,43,0,0,6,46,0,純度高いバーガーに5種類のきのこが用いられた新開発のマッシュルームソースという
0,6,46,0,0,6,49,0,品位の高いまるでインターネットお嬢様を
0,6,49,0,0,6,52,0,食品にしたような商品。
0,6,52,0,0,6,55,0,これを食べる奴はバカかもしれない。でもこれを食べない奴はもっとバカ。
0,6,55,0,0,6,58,0,みんなバカになろう。
0,6,58,0,0,7,1,0,いいね。
0,7,1,0,0,7,4,0,ビーフギルティポルチーニバーガーのおすすめをいただいていました。
0,7,4,0,0,7,7,0,私はきのこ全般あんまり好きじゃないんで多分食べれないんですけど。
0,7,7,0,0,7,10,0,あのバーガーキングの
0,7,10,0,0,7,13,0,そういうとこ嫌いじゃない。
0,7,13,0,0,7,16,0,みたいな話
0,7,16,0,0,7,19,0,配信でたまに言うんですけど
0,7,19,0,0,7,22,0,なんかおおむねなんて言うんだろう
0,7,22,0,0,7,25,0,ハンバーガー屋技人家に話が持って行かれちゃう
0,7,25,0,0,7,28,0,っていうか自分で持って行ってんだけど
0,7,28,0,0,7,31,0,にねなるんで
0,7,31,0,0,7,34,0,うわ!なんか暑い。
0,7,34,0,0,7,37,0,私をね今映してくれてる
0,7,37,0,0,7,40,0,カメラが死ぬほど暑くなっててビビりました。
0,7,40,0,0,7,43,0,もう一年くらいやってるからだわ。
0,7,43,0,0,7,46,0,で、皆さんは最近
0,7,46,0,0,7,49,0,なんかこれチェーン店が出したメニューで
0,7,49,0,0,7,52,0,これうまかったなっていうのはありますか?
0,7,52,0,0,7,55,0,私はなんか結構チロンなところのツキミ食べたけど
0,7,55,0,0,7,58,0,別にツキミだからといって
0,7,58,0,0,8,1,0,好きになれるわけじゃないんだなって
0,8,1,0,0,8,4,0,盲目的に食べたいっていう
0,8,4,0,0,8,7,0,盲目的に食べたいと思って買って食べるんですけど
0,8,7,0,0,8,10,0,やっぱなんか
0,8,10,0,0,8,13,0,常時あるやつが結局うまいんだ
0,8,13,0,0,8,16,0,というね結論に至りました。
0,8,16,0,0,8,18,0,うん。
0,8,18,0,0,8,21,0,常々出てるやつがうまいんだなっていう。
0,8,21,0,0,8,24,0,やっぱその、もちろんツキミバーガーが
0,8,24,0,0,8,27,0,美味しかったんですけど、マックのね。
0,8,27,0,0,8,30,0,やっぱでもなんかサムライマックの方がうまいし
0,8,30,0,0,8,33,0,あ、でもあの
0,8,33,0,0,8,36,0,スターバックスのね
0,8,36,0,0,8,39,0,あの芋?
0,8,39,0,0,8,42,0,芋を飲みに行こうと思ったらもう売り切れてて飲めなくて
0,8,42,0,0,8,45,0,あれでも美味しそうだった。
0,8,45,0,0,8,48,0,この間なんかスターバックスと
0,8,48,0,0,8,51,0,あのピーナッツ
0,8,51,0,0,8,54,0,スヌーピーの出てくるピーナッツのコラボがあって
0,8,54,0,0,8,57,0,なんかそれのグッズも結構気になってた
0,8,57,0,0,9,0,0,気になってたんですけど一瞬でなくなってましたね。
0,9,0,0,0,9,3,0,焼き芋ブリュリ美味しかった。いいな。
0,9,3,0,0,9,6,0,飲んだ方結構多いのかな。
0,9,6,0,0,9,9,0,焼き芋となんかもう一つ
0,9,9,0,0,9,12,0,なんかパンプキン的なの出てたのは
0,9,12,0,0,9,15,0,幻覚かな。焼き芋フラペチーノか。
0,9,15,0,0,9,18,0,あれ本当に美味しそう。
0,9,18,0,0,9,21,0,私が今日行ったら、今日行ったお店は
0,9,21,0,0,9,24,0,なかったですね。
0,9,24,0,0,9,27,0,結局一番好きなのは
0,9,27,0,0,9,30,0,マクドのハンバーガーケチャップ抜き。
0,9,30,0,0,9,33,0,マクドナルドで私が一番美味いと思っているメニューは
0,9,33,0,0,9,36,0,チーズバーガーのケチャップとピクルス抜きだから
0,9,36,0,0,9,39,0,それを大体2個か3個食べてる。
0,9,39,0,0,9,42,0,それが結局美味いです。
0,9,42,0,0,9,45,0,あ、スターバックスパイスラテか。
0,9,45,0,0,9,48,0,パンプキンスパイスラテですね。
0,9,48,0,0,9,51,0,なんかあの
0,9,51,0,0,9,54,0,スターバックスって
0,9,54,0,0,9,57,0,中の魅力変えられるんですけど
0,9,57,0,0,10,0,0,普通だったら牛乳なんですけど
0,10,0,0,0,10,3,0,それがその
0,10,3,0,0,10,6,0,ローファット、ノンファット
0,10,6,0,0,10,9,0,あとソイ
0,10,9,0,0,10,12,0,オーツ、オーツミルク
0,10,12,0,0,10,15,0,とか選べたかな今は。
0,10,15,0,0,10,18,0,アーモンドミルクもあるかもしれないんだけど
0,10,18,0,0,10,21,0,やっぱその意識の高いものどもはさ
0,10,21,0,0,10,24,0,オーツミルクとか、あ、いてっ。
0,10,24,0,0,10,27,0,もうダメだ、今日はもう何もかもダメ。
0,10,27,0,0,10,30,0,オーツミルクとかアーモンドミルクとかにすると思うんだけど
0,10,30,0,0,10,33,0,牛乳がうめ。
0,10,33,0,0,10,36,0,パ牛乳よ。
0,10,36,0,0,10,39,0,でもそれよりもソイの方がうめ。
0,10,39,0,0,10,42,0,私はスターバックスだと
0,10,42,0,0,10,45,0,ソイが一番好きですね。
0,10,45,0,0,10,48,0,なんかスターバのソイ甘くて美味しいんだよね。
0,10,48,0,0,10,51,0,オーツあったかな?なんか期間限定かもしれないけど
0,10,51,0,0,10,54,0,前オーツ出てたと思う。
0,10,54,0,0,10,57,0,でなんかローファットとノンファットってのがあって
