start_h,start_m,start_s,start_ms,end_h,end_m,end_s,end_ms,text
0,1,0,0,0,1,3,0,me
0,1,6,0,0,1,9,0,裏ラジオールナイト
0,1,9,0,0,1,11,0,ん
0,1,18,0,0,1,25,0,はい皆さんこんばんは有感キーさんに前のオーラル過去です本日ゲストに来ていただいて ますでずむさんお願いします
0,1,25,0,0,1,34,0,どうも皆さんこんばんは共天同地からのリズムですなんでそんな空気多めなんすか よろしくお願いしますしもで普通に喋ってたのね
0,1,34,0,0,1,40,0,空気を目に喋ったらなんかイケメン声に勘違いされるかなって聞いたので
0,1,40,0,0,1,50,0,いつのいつの情報ですかそれ結構前じゃないですか そうですねこれは僕が勝手にそう思っている怒られる類のあれです
0,1,50,0,0,1,59,0,私はまたちょっと空気多めで今日喋ってみようかな でも勘違いしそうハートっていうコメントありますね
0,1,59,0,0,2,3,0,もう全然勘違いしていたんですけど
0,2,5,0,0,2,12,0,なんかこの生け方っていうのはあれですよね なんだっけツイキャスか何かの文化
0,2,12,0,0,2,24,0,あそうなんですかなんか結構その 私あんまり詳しくないんですけど配信活動をする上でいろんな配信媒体を学んだんです
0,2,24,0,0,2,31,0,デビューする前に あーそのyoutubeだけではなくそうそうそうそうそうなんかそのツイキャスの中に
0,2,31,0,0,2,40,0,生け方っていうそのカテゴリなんですよね ジャンルがあってなんかそのカテゴリーの人は息多めに喋らなきゃいけないって縛りがあるんですか
0,2,40,0,0,2,47,0,そうですそうなんですよあの 酸素を多めに含ませた声であの囁かないといけないっていう
0,2,47,0,0,2,50,0,じゃ負けずに 今今日は
0,2,50,0,0,2,57,0,生き方で コメントになんか秘かがいたやから秘かにしか聞こえなくなっちゃった
0,2,57,0,0,3,2,0,よく秘かもいますよね 配信でね
0,3,2,0,0,3,11,0,お茶も投げていただいて あーお茶って聞いたことあるぞ お茶投げるのはそれ
0,3,11,0,0,3,19,0,あれそれツイキャス? わからんそうじゃないですか 萌は?萌はツイキャスなのか?
0,3,19,0,0,3,27,0,何も勉強したけどあんま騒ぎしか見なかったけど 誰かな?森本レオさんみたいなリズムは誰ですかね
0,3,27,0,0,3,33,0,いいですね 息多めのリズムです
0,3,33,0,0,3,40,0,私どちらかというとあのレオもりもとの方がいいですね なんかこれから素敵ななんか
0,3,40,0,0,3,46,0,あれ?森本レオさんってなんか旅系のなんかナレーションしてます? いやどっちかっていうとトーマス
0,3,46,0,0,3,49,0,トーマスか トーマスの感じがしてる
0,3,49,0,0,3,58,0,ペッペッペーンペーンペッペッペッペーン はい
0,3,59,0,0,4,6,0,なんか1年ぐらい前に一時期トーマスがすごいツイッターでよく飛び交ってた時期あったんですよね
0,4,6,0,0,4,12,0,そんな地獄のような時期ありましたか? あったあったはず 今年もまたトーマスの季節だなみたいな
0,4,12,0,0,4,22,0,そうそうそうなんか年一ぐらいでツイッターの民たちがトーマスに目覚める 季節がやってくるじゃないですか えっもしかして私のタイムラインだけなのかな
0,4,22,0,0,4,28,0,それなんかあのあれなんか1年に1回雨がよく降る時期あるよねみたいなこと?
0,4,29,0,0,4,35,0,年一ぐらいでなんかツイッタータイムラインにトーマスの雨が降る時期があるじゃん
0,4,35,0,0,4,40,0,怖っ 私のタイムラインだけでしたすいませんでした変なこと言って今日はですね
0,4,40,0,0,4,44,0,はい ごめんなさい全然関係ない森本レオまた引っ張ろうとしました
0,4,44,0,0,4,47,0,森本レオの話しましょう 今日は森本レオのラジオなんで
0,4,47,0,0,4,51,0,あのオネアミスの翼っていう
0,4,51,0,0,4,55,0,ガイナックスが作った映画がありまして映画だったと思うんですけど
0,4,55,0,0,4,57,0,オネアミスの翼?
0,4,57,0,0,5,3,0,これが何を考えたのか森本レオさんが主人公だったんじゃなかったかなこれは
0,5,3,0,0,5,9,0,えっそれはなんかその なんでしょう少年の男性が主人公とかそういう
0,5,9,0,0,5,12,0,いや若者だったと思うけどな普通に
