start_s,text
-638,待機
-614,待機
-601,待機
-595,待機
-565,待機
-563,待機
-489,待機
-439,待機
-434,待機
-413,待機
-380,待機
-377,待機
-368,待機
-358,待機
-355,|･`ω･)
-340,待機
-333,待機
-312,待機
-292,待機
-281,待機
-247,待機
-235,待機
-234,ポムポムポムるっかりこ
-232,待機
-232,待機
-226,待機
-224,待機
-216,待機
-215,待機
-201,待機
-164,待機
-160,るかこも愛してるよ
-160,ポムポム
-155,待機
-143,待機
-126,待機
-116,るっかりこ
-113,待機
-90,待機
-84,ポム
-78,待機
-77,愛され待機
-67,who who:owl:
-67,待機
-66,待機
-45,待機
-24,待機
-18,待機
-8,待機
-4,待機
2,待機
6,きちゃ
9,きちゃ
12,きちゃ
13,きちゃ
13,きちゃ
15,きちゃ
17,きちゃ
17,きた
19,はじまるーかこ！
19,きた
21,きちゃ
22,きちゃ
22,きちゃ
24,きちゃ
29,きたわね
29,喪
30,きちゃ
31,るっかりこ
34,るっかこ　るっかこ　るっかりこ　るか
34,きちゃ
34,きちゃ
35,きちゃ
36,coolだな
37,きちゃ
39,ポム放置プレイかと思った
40,きちゃ
42,きちゃ
43,きちゃ
45,きちゃ
45,こんばんはー！
49,きちゃ
50,きちゃ
52,きちゃ！
52,きちゃ
56,きちゃ
56,きちゃ
66,こんばんは
69,こんばんはー
73,こんばんは
74,ミュート？
74,こんばんはー
77,こんばんは〜
79,こんばんはー
79,音が？
80,ん？
80,こんばんはー
81,こんばんは
81,こんばんはー
82,静かだ
83,こんばんはー
83,あれ？
83,無言だ
86,ん？
87,こんばんは
88,こんばんはー
88,あら？
88,音が消えた
89,ｽﾝ…
90,ミュートになってそう
92,こんばんわ～
95,こんばんは～
95,うん？
96,ミュートで笑ってそう
97,こんばんはー
99,お？
100,こんばんはー
100,こんばんはー
101,なんにも言わないラジオ草
103,ミュート？
104,寝た？
104,こんばんは～
105,音を置き去りに・・・
105,こんばんはー
110,ミュートかな？
113,こんばんわ
114,こんばんは〜
114,こんばんはー！
114,きたきた
114,音きちゃ
115,こんばんはー
117,こんばんは
117,ジングル始まったｗ
118,お、聞こえた聞こえた
119,who who:owl:
120,こんばんは
121,こんばんは～
121,ずいぶんと溜めたな
121,BGMだけミュートだったのかー
121,こんばんはー
122,こんばんは～
122,こんばんわ？
122,こんばんはー
123,やっほー！こんばんはー！
123,こんばんは
123,こんばんは
123,こんばんはー
124,こんばんはー
124,こんばんわ！
124,はじまた！！
124,こんばんわー
126,いたわ
126,こんばんはー
126,こんばんはー
126,こんばんは
127,こんばんは～
127,こんばわ～
128,こんばんは
128,こんばんはー
128,こんばんは～
128,こんんばんはー
128,こんばんはー
129,こんばんはーー
129,こんばんは
129,こんばんはー
129,こんばんはー
129,こんばんは〜
129,こんばんはー
129,こんばんはー
