start_s,text
-4026,待機
-1510,待機
-1215,待機
-1167,待機
-1142,:owl:
-1139,待機
-1108,待機
-1035,待機
-929,待機
-899,待機
-815,待機
-772,待機
-477,待機
-430,待機
-401,待機
-394,待機
-367,待機
-340,待機
-329,待機
-322,待機
-317,たいき
-311,待機
-268,|･`ω･)
-204,待機
-126,今日のテーマも面白そうだ
-110,待機
-107,待機
-97,待機
-92,トンデモ科学大集合の予感やん
-82,待機
-79,待機
-75,待機
-74,待機
-67,待機
-62,待機
-20,待機
-19,るーちゃん
10,きちゃ
11,待機
15,今日は血が足りてるかな？
15,きた
16,きた
17,きちゃ
18,はじまた
19,きちゃー
20,きた
21,はじまった
22,きちゃ
23,きた
23,きちゃ
23,きちゃ
24,きちゃ
24,きちゃ
28,きちゃ
34,きた
37,きちゃ
38,るかっさーん！
40,確定申告ｗ
41,きちゃ
44,きちゃ
46,きた
47,きちゃ
54,きちゃ
56,お便りぷよぷよ
63,きちゃ
78,きちゃ
81,こんばんは
84,こんばんは
86,大丈夫です
87,こんばんは～
90,こんばんは
90,ｗｗ
92,草
92,前説たすかる
92,隙オモ
93,事前注意助かる
94,良いop
94,こんばんはー
95,OPじゃん！
95,こんばんは
95,こんばんわのだ
95,勇敢なる
96,いきなり隙を見せてしまった
96,こんばんは〜
96,いいOP
97,こんばんはー
97,注意喚起だ
97,こんばんは　音量大丈夫です
97,こんばんは～
98,こんばんは〜
98,こんばんは
99,こんばんわ
99,こんばんは
99,こんばんは
100,注意助かる
100,こんばんはー
100,隙を見せるな
100,こんばんはー
101,こんばんは
103,FMラジオっぽい
104,こんばんは〜
104,いい口上だ
105,こんばんうら
105,こんばんはー
106,なんつー注意よwww
106,少女革命ウテナ！はーじまーるよー！！
106,こんばんは〜
106,こんばんは
107,前説することで免罪符とする
108,こんばんわー
108,こんばんは
110,こんばんは
111,こんばんは
111,こんばんは〜
111,こんばんは〜
111,こんばんはー
113,こんばんわ
113,隙見せたっけ…？
113,隙はないと思っていただこう
114,こんばんはー
114,こんばんわー
115,こんばんはー
118,こんばんは～
121,こんばんは
123,音量大丈夫
123,こんばんわー
124,おかげさまで生きております！
125,www
127,なるほどｗ
127,こんばんはー
127,こんばんは:person_in_bed:
128,完璧だ
128,隙はいつでもある
132,もう断ったから何やっても良いな！！
132,おたよりなんかーい
132,とてもわかりやすいですねｗ
133,気が回るおたよりだｗ
133,こんばんは
139,こんばんは～
140,こんばんは
140,いいじゃない
143,草
144,ジェットストリーム
146,草
146,草
147,有能だなー
147,コラム連載開始おめでとうございます
148,まさかの開始即ふつおたじゃん
150,草
150,わかりやすい
155,ガイア！
156,隙を見せる前にオモコロ差し込まれたじゃん
156,毎回募集しても良さそう
160,身の丈にあった開始だった
161,また、今回だけやな
162,なんかイベントの雰囲気出ていいね
166,めでたい！
168,ポチったよ〜
169,おめでとうございます
171,連載めっちゃ楽しみ
173,予約しました
176,すごい大躍進ですね
177,楽しみです
179,こんばんはー
181,おめでとうございます！
183,楽しみだ
188,連載か！
190,すみと
190,おおわらすみと
197,こんばんはー
198,電子レンジを捨てるな
201,草
