start_s,text
-4089,待機～
-4051,待機～
-4045,いい…笑顔です…！
-3224,待機
-3010,待機
-2761,待機
-2699,待機
-2687,待機
-2528,待機(マダミスが楽しみだ〜)
-1757,待機
-1706,笑顔200％
-1683,待機
-1444,待機
-1151,待機
-1127,待機
-923,待機
-756,待機
-697,待機
-673,待機
-652,待機
-500,待機
-476,待機しとーよ
-301,待機
-291,待機
-290,たすけて恋愛マスター
-290,待機
-271,待機
-199,待機
-163,待機
-156,待機
-136,待機
-99,待機
-81,よろしくお願いいたします。
-74,待機
-70,待機
-57,待機
-54,待機
-49,待機
-47,待機
-46,待機
-46,待機
-40,待機
-40,待機
-38,待機
-35,待機
-31,待機
-30,1万5千人か。おめでとう
-27,待機
-20,待機
0,待機
12,きちゃ！
13,待機
14,かっこいい
16,きちゃ！
19,お！
19,神OP
19,こんばんはー
21,神OP
23,裏OP
24,きた
27,神OP
28,opきちゃ
29,こんばんは～
29,おされOP
31,神OP
34,神OP
37,神OP
40,きた
40,おシャンティー
45,こんばんは
46,こんばんは～
47,こんばんはー
48,どうもこんばんは
50,神Op
51,こんばんわー
51,こんばんはー
51,こんばんはー
53,こんばんはー
53,神のOP
53,こんばんわー
54,こんばんはです
55,こんばんはー
55,こんばんはー
55,こんばんはー
56,圧が強いな
56,こんばんはー
56,こんばんは
57,こんばんは
57,こんばんは～
57,こんばんはー
57,！？
58,こーんばーんはー
58,こんばんはー
59,こんばんは
59,:clapping_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands:
60,近いなw
60,こんばんはー
61,こんばんはー
63,こんばんはぁ
63,こんばんはー
63,こんばんはー
63,顔よｗ
63,こんばんはー
64,こんばんわ～
66,やぁ大浦、お邪魔します。
68,こんばんはー
70,こんばんはー
72,こんばんわ
74,ほう
74,前面にｗ
74,こんばんは～
76,こんばんはー
77,みあちミュートだ＾＾
79,初ゲスト！
79,ほうｗ
80,こんばんはー
81,こんばんはー
82,ほう
83,次回やりましょう
83,工藤？工藤やないか？！！
85,こんばんはー
86,こんばんは！
88,チカチカするタイプの湖南だw
88,初手後悔
89,なんだろう
91,おお
92,OPトークたすかる
93,こんばんは！！！
94,おおー
94,おお！
94,おおーー！！
94,おおおおおおおおおお！
95,かぁっこよ
95,おお
96,おおー
96,おお
96,かっこいい
96,おお！
96,おおー
96,これは本格的
96,スゲェ！
96,こんばんはー
97,おお
98,カッケェ〜！
98,おぉ
99,いい声だ
99,ジングルいい
99,いいですね
99,おしゃれー
99,それっぽい
100,いいね！！
100,おおー
100,おー！
101,おおお
101,おおー
101,かっこいい
102,かっこいい
103,めっちゃいい！
104,おお！！
104,ジングルいいねぇ
104,かっこいいー
105,オシャレ
105,かっこいい
105,神ジングル
105,ジングルいいですね
106,有能スパイっぽいジングル
107,ジングルいいねえ
107,ラジオっぽい
108,おぉ
110,こんばんはー
110,こんばんはー
111,深夜感あってかっこいー
112,かっこええ
113,こんばんはー
114,はいこんばんは
114,チカチカしてんなｗ
115,チカチカしだした
115,格好いいわね
115,こんばんはー
116,こんばんはー
117,恋愛マスター兼ガヤ
117,かっけぇ！
117,カッコいい
118,こんばんはー
118,こんばんはー
119,こんばんはー
121,点滅！
122,みあちピカピカしとる
122,こんばんわ　るかこ
124,こんみあー
124,チカチカ
125,こんばんはー
126,こんばんは
126,誰！？
126,誰？誰？
127,こんばんはー
127,こんばんは
127,それっぽいww
127,こんばんはー
127,こんばんわ
129,深夜ぽい声
129,こんばんはー
130,それっぽい声ｗｗ
130,お淑やかモードだ
130,こんみあ
130,点滅が主張しとるｗ
130,ぽいｗ
130,良い声してる
131,食おうとするな
132,それなりに似てる
133,こんみあー
133,かっこいいっすね
133,乗っ取られた！？
133,誰
133,誰ｗ
133,乗っ取りしてはるｗ
134,別人だ
135,草
135,誰だ！？
136,誰ｗ
137,こんばんあ
137,逸れっぽくて草
137,よそいきの人になってるｗ
138,おや
140,誰だ
140,アナウンサーぽい
140,こんばんは。主賓が後ろにいるってなんなのｗ
140,こんばんはー
140,るかこが二人！？
140,みあち声作っとるＷＷＷ
141,妙にいい声で草
141,誰…？
142,誰だ！？
142,みやちよそゆきの声やんw
144,似てる
144,借りてきたみあち
144,深夜モードで草
144,大丈夫ｗ
144,音量ＯＫ
145,バランスオッケー
145,今の音量は参考になるんだろうか
145,さすがみあ
146,ゲスト別の人じゃないですか？
146,大丈夫です
147,どなたですか？ｗ
147,ダイジョブよ
147,ガソリン（お酒）入れてますかー！？
148,音量バランスはいいけど誰？
148,いや誰ｗ
149,ラジオのオンオフみたいｗ
150,2人とも死ぬほど声良くて草
150,良いと思う
151,DJっぽい
153,大丈夫ですｗ
154,こんばんはー
154,おＫ
155,借りてきたなんたらｗ
158,ライアーゲームやめろｗ
160,ちょうどよい
160,ちゃんと居て一安心
160,大丈夫！
163,いいくらいかな
163,普通になったらちょい大きいかな
166,普通にしゃべってw
167,おけです
168,借りてきたミーアキャット
168,深夜だからいつもより声抑えてるね
172,こんばんわー！
175,丁度良くなった
178,ホントてｗ
178,湖南の電池切れかけてない？w
