start_s,text
-7048,「抜きたい度肝」って日本語も中々使わないな…
-6271,「蹴りたい背中」は名作だけど「蹴りたい田中」の方はお薦めはしない…
-4620,待機
-4578,初見です
-3672,待機
-3638,待機
-3358,こんばんはです。本日の放送もよろしくお願い致しますです(*･ω･)*_ _)ﾍﾟｺﾘ
-2697,待機
-2286,待機
-1916,待機
-1386,待機
-1129,待機
-1058,待機
-1023,待機
-782,待機
-728,待機
-697,待機
-695,待機
-688,待機
-685,待機
-659,待機
-597,待機
-576,待機
-552,待機
-474,待機
-377,待機
-360,待機
-340,待機
-339,待機
-280,待機
-225,待機
-218,待機
-179,待機
-139,待機
-138,|･`ω･)
-132,待機
-115,待機
-111,待機
-109,待機
-97,待機
-65,待機
-50,待機
-47,待機シャトル
-40,待機
-35,待機
-32,待機
-31,待機
-20,待機
3,待機
4,待機
18,神op
20,きた
20,きちゃ
22,こんばんは〜
22,きちゃ
22,きちゃ
23,きちゃ
23,きちゃ
24,きちゃ
25,きた
25,きた
25,きたぁ
25,こんばんはー
26,きた
27,きた
27,きちゃ
30,新ロゴだー
37,きた
41,るかこ　こんばんわ
42,きちゃ！
42,ロゴわかいい
44,来た
44,こんばんはー
46,フクロウになった
47,ロゴ変わってる！
47,きちゃ
50,きちゃ
51,ロゴかわ
51,こんばんはー
51,ばんわ
52,ステッカーのやつだ
52,こんばんはー
55,こんばんは
55,かっけぇ
58,ロゴいいなｗ
59,ロゴいい！
65,こんばんは
65,良いロゴだぁ
67,ロゴいいね
71,こんばんは
74,こんばんは
78,間に合った！こんばんはー
78,かっこいいなー
79,こんばんわー
80,こんばんは～
81,こんばんは
81,こんばんは〜
81,こんばんは～
82,こんばんはー
82,こんばんはー
82,こんばんは
83,こんばんは
83,こんばんは
84,こんばんは～
85,かっけえ
85,やぁ大浦、お邪魔します
85,こんばんは
85,こんばんわ
85,こんばんは～
85,こんばんは
86,こんばんはー
86,こんばんは
86,こんばんはー！
87,こんばんわ～
87,こんばんはー
88,こんばんは〜
88,こんばんは〜
89,こんばんはー
89,こんばんはー
89,こんばんは
89,こんばんは
89,おお！
89,ﾅﾝﾀﾞｯﾃｰ
90,こんばんはー
90,すごｗ
90,こんばんはー
90,こんばんは～
91,こんばんは～
91,こんばんはー
91,！？
91,なにそれ！
91,こんばんは～
92,こんばんは
92,こんばんはー
92,!?
92,こんばんはー
92,！？
93,一粒？
93,こんばんはー
93,たっかｗ
93,高級品
93,おぉ
93,いいなぁ！
93,えぇ
94,すごい
94,かねもち
94,おおー
95,こんばんわー
95,！？
95,こんばんは
96,富豪だ
96,たかい！
96,こんばんは！
96,リッチ！！！
96,すげえ
97,えぇ
97,いいですね
97,！？
97,オウルナイトだ
98,初手飯テロ
98,こんばんは〜
98,美味しかった？
99,1万！？
99,こんばんは
100,こんばんは
100,すごい
101,ゴティバかな？
101,ブルジョワめ！
101,あまがみ
101,こんばんわ〜
101,こんばんはー
101,こんばんはー
101,1万円のチョコ？？
101,すごい…！？
102,こんばんはー！
102,こんばんわー
102,それは贅沢だ
103,1万円！？
103,たっっっか
103,すげぇ
104,リッチ！！
104,すごい
105,こんばんはー
106,こんばんわー
107,高級ですね
107,飯テロか
108,こんばんわー！
108,ジングルOK
108,こんばんは
109,味が気になるー
109,1万のチョコが気になりすぎるｗｗ
110,一万円分のチョコ？
110,もう100円のチョコには戻れない
112,パチ屋の景品？
112,すでに抜かれた度肝
112,どれくらいで1万円なんだろう
113,リッチやん
113,5円チョコ的なやつ？
114,一万円！？
115,こんばんはー
116,さしいれ？
116,音声大丈夫です。
118,高い！
118,超高級チョコ
122,こんばんはー
124,こんばんは～裏ラジリアタイ久々やもしれませぬ！
125,何入ってるんだろ
125,音量めっちゃいいですね
128,こんばんわ
128,音量オッケーい
129,音量大丈夫です
130,１まんえんチョコかな？
133,こんばんはー
135,音量よし
136,社員マスカットか
136,社員マスカット！！
137,ほう
138,いきなり度肝を抜かれた
139,1万円のチョコ！！すごい
141,ほう
144,るかこさんもブルジョワか・・・
144,こんばんは
146,ごでばかな
146,明治！？
149,マスカットとチョコ…
149,ごでば？
150,ごでばやな
151,おしゃんな誕生日プレゼントだ
153,明治？
153,せやね
155,すごいな
155,ピエールマルコリーニ？
158,明治製菓か・・・
158,すごい経路だｗ
158,ゴ○○バ？
158,なるほろ
159,こんばんは～
160,こんばんはー
161,そんなに希少なものなんだ
161,お札の形のチョコじゃないのか
162,ｳﾋｮｰ
164,マスカットに高級チョコはめちゃくちゃ合いそう
165,そんなに特別なチョコなの？
165,さっそく度肝抜かれたわね
167,たっか
169,！
169,マジか
170,祖母がメリーで働いてたなー
171,いったい何ディヴァなんだ・・・？
172,一個500円……
172,20粒で1万円……？
172,ほう！
173,こんばんはー
174,ひとつぶごひゃくえん……
176,それは高いな
177,その点トッポってすごいよな。最後までチョコたっぷりだもん。
177,一粒500円
179,どんな味でした？
179,５円チョコなら食べたことある
179,淡々とした感想
181,深い感想だ…
181,そのまんま
181,ガーナで日給600円で子どもたちに働かせた高級チョコレートの味は格別だぜ！
182,中身入ってる系？
182,このドライさよｗ
184,微妙な感想w
184,一粒で牛丼食える
185,他に感想は...
191,ひと粒500円…！
191,値段についての感想しかない
194,ほうほう
197,つまりチョコに課金と
197,分かる気がする
197,うーんｗ
197,贈答用
198,箱の底に小判入ってますよきっと
199,ほう
200,ほうほう
200,どういう事ｗ
200,あーなるほど
202,買って食おうとまでは思わないよな
203,一万の実感がないのね
204,あ～なんとなくわかる
205,こんばんは！
206,なるほど
206,チョコはチョコなんよなｗ
207,罪悪感感じそう
207,るかこさん実はいいとこのお嬢さんなのでは
208,接待用
208,なるほどｗ
209,ｗ
210,言いたい事はなんとなくわかります
210,草
210,牛丼ｗｗｗ
210,ジャンルがｗ
210,草
210,ww
211,いつもの感想
211,贈答用値段的なね
212,満足感からすればそうか
213,そりゃまぁそうだろうなw
213,www
214,わかる
215,コスパ最強
216,１００円のチョコ１００枚と満足感比べちゃうタイプ？
217,すーぐ牛丼ｗ
219,たしかに
220,見た目やら香りが演出過剰な感じですか
221,何ｍ走れそうですか？
222,一粒コインに見えちゃう
222,比較がめちゃくちゃで草
223,森〇ミルクキャラメルなら1粒で500mですよ
224,なるほど
224,それはそうね
228,わかる
229,贈答用か…
229,食レポ向かいない方です？もしかして
231,タカノ
234,新宿のタカノ
235,吉野家換算
235,自分で買っても美味しいで（笑）
239,牛丼、たしかに！量によっては500円でおつりが来る
239,あらｗ
242,胃の価値ｗ
242,ｗｗ
243,桐箱に入ったTAKANOのメロンみたいな
245,草
246,エンゲル係数やっば
246,貴族の胃袋
248,胃の中3000円
248,胃の中の価値は草
248,胃の価値ｗｗ
250,玉手箱のハラワタ
252,大浦さんの胃の中が3000えん
252,エンゲル係数高くなりましたね
253,胃の中が3000円分ですね
254,一万チョコと比べたら敵わんな
254,一粒500円なら、ある意味納得
255,胃の価値が上がってるすごい
259,胃の価値
260,細胞が高級になっていく
265,ぶるじょあぽんぽん
271,高すぎるチョコは味がワケわからん過ぎて、庶民にはトッポとかのが舌に合ってるんだよなぁと思う
272,たしかに
272,まあそうか
276,あー確かに
277,それはそう
278,そうなるよな
281,桐の箱は贈呈やなあ
282,お茶漬けの素から1万円のチョコかよ…
284,あー
286,貰いてぇなぁ
288,たしかに
292,一万円って麦チョコが何キロ食べられるんだ…
292,こんばんみ
295,たべてみたい
295,マウンティング用か
297,今日髪色鮮明ですね
298,まぁ、間違いなく美味しいんだろうけどね
300,前時代の遺物かな..
303,るかこさん。金額換算好きね
304,るかこさんのミノは3000円
305,味じゃなくて気持ちメインか
305,贈り物マウント用
311,身銭切るとしても接待じゃないといけない高級店とかありますね
313,高級品のプレゼントで1万円なら送りやすいのかも
317,おおー
317,そうなのか
319,ブラジルなんだって？
321,メガネ＋コーヒー＝
321,つまり珈琲は眼鏡
323,お洒落やな
323,おいしかったデス
325,良い日を過ごせたようで
327,コーヒーとチョコの組み合わせ大好き
330,ｗ
330,なるほどｗ
330,運命を感じる組み合わせ
331,ww
331,ｗｗｗｗ
332,っぱダースよ
332,言ってしまったｗ
333,草
333,メガネの日＝パンツの日って事でOK？
334,身も蓋もないｗ
334,それは言っちゃあかんｗ
334,言っちゃったw
334,ww
334,えぇ
334,ｗ
334,わかる！
334,なるほどｗ
336,ダースおいしいね
336,草
336,ダースに負けたｗ
336,ｗｗ
336,満足感よやっぱ
338,こんばんは〜
338,身も蓋もねぇぇぇぇ！！ｗｗ
338,母浦さん…
338,草
338,ｗｗｗ
339,ｗｗｗ
339,いい母だ
339,ダース　うまいねｗ
340,幸せ係数が高い
340,お後がよろしいようで
340,草
342,っぱダースよ
343,高級なの食べるとそうなる
343,コスパ的に
343,ダースおいしいよな
345,身も蓋も無いｗ
347,経験は大事よ
347,ゴリゴリのコスパ厨で草
348,母浦ナイスアイデア
348,あーｗ
348,草
348,明治ミルクチョコレートよ
349,アーモンドチョコが好き
350,コンビニで買えるガルボうめぇ～
350,おいしいからね
351,収穫逓減の法則が効いてますね
353,高いチョコよりガーナチョコの方が好き
354,わかるｗ
354,ピエルマルコリーニうまい
356,これもまた学びか
358,ダースだったら1200粒食えるもんな
358,ダースとか純粋なチョコが一番
361,そういう経験大事だよね
362,わかるわ
363,それはわかる
363,やっぱ食べ慣れてる味が好きなんだよね
364,選択肢は大事ですよ
364,100%カカオ！
364,シンプルイズベスト
365,わかる
365,あれは苦手だなぁ
366,ううむ。すごく同意なんだけど、なんだけどｗ
366,あー…
367,あーわかる
368,岩塩かかってたりね
368,わかるわぁ
369,オレンジピールとかいらねえんだよなあ！
369,わかる
369,ちょっとわかる
372,食ってる感ならアポロが最高
373,酒入ってるの食えん
375,セコイヤしか勝たん
376,分かる
377,わかる
378,ゴディバかな？
382,でもマカダミアは美味くない？
382,ロイズの生チョコ好き
385,虫みたいな感じか
388,ウイスキーボンボンも苦手
388,チロル一択
389,アパートみたいになった
395,都会のチョコレート屋さんはすごいからねぇ
398,獺祭チョコうまかった
400,たぶんチョコが通貨なのだろう
404,チョコレートファン
405,色々あるんだな
407,チョコベビー
408,チョコレートガチ勢こわ
408,チョコって、バレンタインデーの後に格安になってる時に買い込むもののイメージ。
413,推しパティシエがいるんだよね
415,何もわからん
420,チョコマニア
421,パイ生地と板チョコで簡易チョコパイ作ると幸せになれます
422,サダハルって言ったら王かな
423,そもそも日本のチョコが普通に美味しいのがね
424,2月の新宿はチョコ戦争で楽しい
427,ブラックサンダーしか知らない
429,日本の安いチョコってクオリティたかくておいしい
430,そういう世界か
430,やはりキャラパキ発掘恐竜チョコだな
433,北海道のロイズも一度、お試しあれ。美味しいですよ
434,オシャシエじゃん
437,多分、自分も分からない（食べたことないけど）
443,ケーキ用のチョコブロックが最強
443,こんちゃ！
450,チョコポテチが好き！！
450,イス浦さんも喜んでおる
450,話を聞くのは楽しいですよね
453,食い物沼は深い
454,ありますよ
454,ロイズは美味しい
456,出しましたね
456,あれすき
456,サロン・ドゥ・牛丼があればいいのに
457,あれうまいよね
457,ロイズ好き
458,庶民には120円の板チョコが一番口に合う
459,あるある
460,値段と味は比例しない…気がする
463,田中みな実が絶対行くらしい
463,チョコポテチはうまいね
466,北海道は何でも美味しい
466,ほう
467,チタタプじゃなかったか…
468,ロイズは生チョコが有名ですねー
468,わかる
470,こんばんはー
470,もう分からない
471,ルタオは母によく送ってるわ
471,名前的にチーズか
473,あれはうんまい
473,ロイズは生チョコも有名ですよ
474,六花亭のイチゴチョコうまい
477,食通ですね
478,北海道は何もかもがうまい
479,チーズケーキも美味しい
482,牛丼w
482,草
482,ロイズの生チョコが一番うまい
483,ルタオ美味しいよね
485,ドゥーブルを発送する仕事としてたまん
486,ww
487,さろんでゅぎゅうどん
487,たしかに
489,すごいなそれは
489,えｗｗ
492,豪華だなあ
494,草
494,ブルジョワだ…
494,ルタオ好きとは通ですね
494,拗らした独身やね
494,ブルジョアじゃぁん
495,欲張り！！
497,牛丼はどこ派
497,草
497,十勝の牛トロフレーク
